ItemID,name,description,into,gold,tags,stats,from,stats_FlatHPPoolMod,stats_FlatMPPoolMod,stats_PercentHPPoolMod,stats_PercentMPPoolMod,stats_FlatHPRegenMod,stats_PercentHPRegenMod,stats_FlatMPRegenMod,stats_PercentMPRegenMod,stats_FlatArmorMod,stats_PercentArmorMod,stats_FlatPhysicalDamageMod,stats_PercentPhysicalDamageMod,stats_FlatMagicDamageMod,stats_PercentMagicDamageMod,stats_FlatMovementSpeedMod,stats_PercentMovementSpeedMod,stats_FlatAttackSpeedMod,stats_PercentAttackSpeedMod,stats_PercentDodgeMod,stats_FlatCritChanceMod,stats_PercentCritChanceMod,stats_FlatCritDamageMod,stats_PercentCritDamageMod,stats_FlatBlockMod,stats_PercentBlockMod,stats_FlatSpellBlockMod,stats_PercentSpellBlockMod,stats_FlatEXPBonus,stats_PercentEXPBonus,stats_FlatEnergyRegenMod,stats_FlatEnergyPoolMod,stats_PercentLifeStealMod,stats_PercentSpellVampMod,Rol,cs_required,waves_required,game_time
1001,Boots,<mainText><stats><attention>25</attention> Move Speed</stats><br><br></mainText>,"['3005', '3047', '3117', '3006', '3009', '3010', '3020', '3111', '3158']","{'base': 300, 'purchasable': True, 'total': 300, 'sell': 210}",['Boots'],{'FlatMovementSpeedMod': 25},,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,Enchanter,14,2,1:12
1004,Faerie Charm,<mainText><stats><attention>50%</attention> Base Mana Regen</stats><br><br></mainText>,"['3114', '4642', '3012']","{'base': 250, 'purchasable': True, 'total': 250, 'sell': 175}",['ManaRegen'],{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,2,1:00
1006,Rejuvenation Bead,<mainText><stats><attention>100%</attention> Base Health Regen</stats><br><br></mainText>,"['3109', '3211', '3801']","{'base': 300, 'purchasable': True, 'total': 300, 'sell': 120}",['HealthRegen'],{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,1:12
1011,Giant's Belt,<mainText><stats><attention>350</attention> Health</stats><br><br></mainText>,"['4637', '3084', '3075', '3083', '3116', '3119', '3143', '6667', '8001']","{'base': 500, 'purchasable': True, 'total': 900, 'sell': 630}",['Health'],{'FlatHPPoolMod': 350},['1028'],350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank,43,7,3:36
1018,Cloak of Agility,<mainText><stats><attention>15%</attention> Critical Strike Chance</stats><br><br></mainText>,"['3031', '6670', '3086', '3033', '3036', '3508', '3095', '6676']","{'base': 600, 'purchasable': True, 'total': 600, 'sell': 420}",['CriticalStrike'],{'FlatCritChanceMod': 0.15},,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,Marksman,29,5,2:24
1026,Blasting Wand,<mainText><stats><attention>45</attention> Ability Power</stats><br><br></mainText>,"['4637', '3135', '3115', '3116', '6621', '6657']","{'base': 850, 'purchasable': True, 'total': 850, 'sell': 595}",['SpellDamage'],{'FlatMagicDamageMod': 45},,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,Mage,41,7,3:24
1027,Sapphire Crystal,<mainText><stats><attention>250</attention> Mana</stats><br><br></mainText>,"['3024', '3802', '3803']","{'base': 350, 'purchasable': True, 'total': 350, 'sell': 245}",['Mana'],{'FlatMPPoolMod': 250},,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mage,17,3,1:24
1028,Ruby Crystal,<mainText><stats><attention>150</attention> Health</stats><br><br></mainText>,"['3742', '1011', '3071', '6662', '2021', '3012', '3147', '3084', '3053', '2502', '3023', '3044', '3066', '3067', '3211', '3748', '3801', '3803', '6665', '4401', '4635', '6035', '6609', '6660']","{'base': 400, 'purchasable': True, 'total': 400, 'sell': 280}",['Health'],{'FlatHPPoolMod': 150},,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tank,19,3,1:36
1029,Cloth Armor,<mainText><stats><attention>15</attention> Armor</stats><br><br></mainText>,"['2420', '1031', '2019', '3193', '3047', '3024', '3050', '3023', '3076', '3082', '3105', '3190']","{'base': 300, 'purchasable': True, 'total': 300, 'sell': 210}",['Armor'],{'FlatArmorMod': 15},,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,Tank,14,2,1:12
1031,Chain Vest,<mainText><stats><attention>40</attention> Armor</stats><br><br></mainText>,"['3742', '3068', '6662', '3109', '2502', '3002', '6665']","{'base': 500, 'purchasable': True, 'total': 800, 'sell': 560}",['Armor'],{'FlatArmorMod': 40},['1029'],,,,,,,,,40,,,,,,,,,,,,,,,,,,,,,,,,,Tank,38,6,3:12
1033,Null-Magic Mantle,<mainText><stats><attention>25</attention> Magic Resist</stats><br><br></mainText>,"['1057', '3140', '3193', '3050', '3001', '3155', '3211', '3105', '3111', '3190', '4632']","{'base': 450, 'purchasable': True, 'total': 450, 'sell': 315}",['SpellBlock'],{'FlatSpellBlockMod': 25},,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,Tank,22,4,1:48
1035,Emberknife,"<mainText><stats></stats><br><br><li><passive>Sear:</passive> Damaging Monsters burns them over time.<li><passive>Challenging Path:</passive> Smiting 5 times consumes this item upgrade your Smite to <attention>Challenging Smite</attention> and increases its damage to monsters. Challenging Smite marks champions. During this time, you deal bonus true damage to them on hit and take reduced damage from them.<li><passive>Huntsman:</passive> Killing Large Monsters grants bonus experience.<li><passive>Recoup:</passive> Regen mana when in the Jungle or River. <br><br><rules><status>Consuming</status> this item grants all item effects permanently and increases Smite damage to monsters. If you have gained more gold from minions than jungle monsters, gold and experience from minions is heavily reduced. Healing is not reduced on AoE attacks. If two levels behind the average champion level of the game, monster kills grant bonus experience. </rules><br><br><rules>Only attacks and abilities apply Challenging Smite's burn</rules></mainText>",,"{'base': 350, 'purchasable': False, 'total': 350, 'sell': 140}","['LifeSteal', 'SpellVamp', 'Jungle']",{},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,3,1:24
