,ItemID,name,description,colloq,plaintext,into,image,gold,tags,maps,stats,from,depth,inStore,effect,consumed,requiredAlly,stacks,hideFromAll,consumeOnFull,specialRecipe,requiredChampion
0,1001,Boots,<mainText><stats><attention>25</attention> Move Speed</stats><br><br></mainText>,;,Slightly increases Move Speed,"['3005', '3047', '3117', '3006', '3009', '3010', '3020', '3111', '3158']","{'full': '1001.png', 'sprite': 'item0.png', 'group': 'item', 'x': 0, 'y': 0, 'w': 48, 'h': 48}","{'base': 300, 'purchasable': True, 'total': 300, 'sell': 210}",['Boots'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatMovementSpeedMod': 25},,,,,,,,,,,
1,1004,Faerie Charm,<mainText><stats><attention>50%</attention> Base Mana Regen</stats><br><br></mainText>,;,Slightly increases Mana Regen,"['3114', '4642', '3012']","{'full': '1004.png', 'sprite': 'item0.png', 'group': 'item', 'x': 48, 'y': 0, 'w': 48, 'h': 48}","{'base': 250, 'purchasable': True, 'total': 250, 'sell': 175}",['ManaRegen'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{},,,,,,,,,,,
2,1006,Rejuvenation Bead,<mainText><stats><attention>100%</attention> Base Health Regen</stats><br><br></mainText>,;,Slightly increases Health Regen,"['3109', '3211', '3801']","{'full': '1006.png', 'sprite': 'item0.png', 'group': 'item', 'x': 96, 'y': 0, 'w': 48, 'h': 48}","{'base': 300, 'purchasable': True, 'total': 300, 'sell': 120}",['HealthRegen'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{},,,,,,,,,,,
3,1011,Giant's Belt,<mainText><stats><attention>350</attention> Health</stats><br><br></mainText>,;,Greatly increases Health,"['4637', '3084', '3075', '3083', '3116', '3119', '3143', '6667', '8001']","{'full': '1011.png', 'sprite': 'item0.png', 'group': 'item', 'x': 144, 'y': 0, 'w': 48, 'h': 48}","{'base': 500, 'purchasable': True, 'total': 900, 'sell': 630}",['Health'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatHPPoolMod': 350},['1028'],2.0,,,,,,,,,
4,1018,Cloak of Agility,<mainText><stats><attention>15%</attention> Critical Strike Chance</stats><br><br></mainText>,;,Increases critical strike chance,"['3031', '6670', '3086', '3033', '3036', '3508', '3095', '6676']","{'full': '1018.png', 'sprite': 'item0.png', 'group': 'item', 'x': 192, 'y': 0, 'w': 48, 'h': 48}","{'base': 600, 'purchasable': True, 'total': 600, 'sell': 420}",['CriticalStrike'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatCritChanceMod': 0.15},,,,,,,,,,,
5,1026,Blasting Wand,<mainText><stats><attention>45</attention> Ability Power</stats><br><br></mainText>,;,Moderately increases Ability Power,"['4637', '3135', '3115', '3116', '6621', '6657']","{'full': '1026.png', 'sprite': 'item0.png', 'group': 'item', 'x': 240, 'y': 0, 'w': 48, 'h': 48}","{'base': 850, 'purchasable': True, 'total': 850, 'sell': 595}",['SpellDamage'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatMagicDamageMod': 45},,,,,,,,,,,
6,1027,Sapphire Crystal,<mainText><stats><attention>250</attention> Mana</stats><br><br></mainText>,;blue,Increases Mana,"['3024', '3802', '3803']","{'full': '1027.png', 'sprite': 'item0.png', 'group': 'item', 'x': 288, 'y': 0, 'w': 48, 'h': 48}","{'base': 350, 'purchasable': True, 'total': 350, 'sell': 245}",['Mana'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatMPPoolMod': 250},,,,,,,,,,,
7,1028,Ruby Crystal,<mainText><stats><attention>150</attention> Health</stats><br><br></mainText>,;red,Increases Health,"['3742', '1011', '3071', '6662', '2021', '3012', '3147', '3084', '3053', '2502', '3023', '3044', '3066', '3067', '3211', '3748', '3801', '3803', '6665', '4401', '4635', '6035', '6609', '6660']","{'full': '1028.png', 'sprite': 'item0.png', 'group': 'item', 'x': 336, 'y': 0, 'w': 48, 'h': 48}","{'base': 400, 'purchasable': True, 'total': 400, 'sell': 280}",['Health'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatHPPoolMod': 150},,,,,,,,,,,
8,1029,Cloth Armor,<mainText><stats><attention>15</attention> Armor</stats><br><br></mainText>,;,Slightly increases Armor,"['2420', '1031', '2019', '3193', '3047', '3024', '3050', '3023', '3076', '3082', '3105', '3190']","{'full': '1029.png', 'sprite': 'item0.png', 'group': 'item', 'x': 384, 'y': 0, 'w': 48, 'h': 48}","{'base': 300, 'purchasable': True, 'total': 300, 'sell': 210}",['Armor'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatArmorMod': 15},,,,,,,,,,,
9,1031,Chain Vest,<mainText><stats><attention>40</attention> Armor</stats><br><br></mainText>,;,Greatly increases Armor,"['3742', '3068', '6662', '3109', '2502', '3002', '6665']","{'full': '1031.png', 'sprite': 'item0.png', 'group': 'item', 'x': 432, 'y': 0, 'w': 48, 'h': 48}","{'base': 500, 'purchasable': True, 'total': 800, 'sell': 560}",['Armor'],"{'11': True, '12': True, '21': True, '22': False, '30': False}",{'FlatArmorMod': 40},['1029'],2.0,,,,,,,,,
